step,exact,kimi,srd,srd_f
146,4.81274,4.78877,4.81097,4.81509
147,4.83731,4.79928,4.82391,4.8132
148,4.83056,4.80619,4.8346,4.89568
149,4.83826,4.80883,4.8586,4.83921
150,4.83455,4.7949,4.82013,4.82889
151,4.83134,4.79073,4.82245,4.85309
152,4.84275,4.81992,4.84192,4.84787
153,4.82359,4.79987,4.81593,4.83798
154,4.89499,4.86008,4.87111,4.8708
155,4.87961,4.86196,4.86782,4.87897
156,4.8826,4.84063,4.86325,4.85876
157,4.8845,4.84269,4.88795,4.87006
158,4.87187,4.81083,4.84063,4.83905
159,4.90113,4.86767,4.8903,4.91214
160,4.86381,4.83886,4.8713,4.92771
161,4.91229,4.87902,4.9,4.89665
162,4.85136,4.81951,4.85246,4.8415
163,4.8243,4.79686,4.82136,4.81621
164,4.86599,4.84517,4.84274,4.84007
165,4.83779,4.77461,4.79406,4.79407
166,4.83284,4.80707,4.82846,4.84646
167,4.81851,4.79762,4.82132,4.83096
168,4.88172,4.86107,4.86893,4.87359
169,4.83589,4.81484,4.83251,4.86999
170,4.85441,4.80702,4.81219,4.88744
171,4.85589,4.82676,4.84803,4.86738
172,4.87978,4.83761,4.85371,4.89557
173,4.84485,4.7997,4.82264,4.8379
174,4.8649,4.81794,4.83902,4.85207
175,4.8183,4.7968,4.82018,4.82988
176,4.81306,4.78137,4.84364,4.81209
177,4.83078,4.79471,4.82832,4.82709
178,4.83281,4.81173,4.92971,4.83105
179,4.82993,4.77364,4.88931,4.83295
180,4.82428,4.77224,4.81429,4.82293
181,4.83056,4.7897,4.83446,4.83393
182,4.82853,4.77151,4.81522,4.81758
183,4.83675,4.78549,4.834,4.84174
184,4.86062,4.81731,4.86236,4.86269
185,4.87162,4.82158,4.87003,4.8699
186,4.83676,4.80421,4.8736,4.84853
187,4.83464,4.79814,4.85488,4.83314
188,4.79062,4.77501,4.79961,4.80211
189,4.81974,4.7764,4.82272,4.8343
190,4.82155,4.78343,4.83049,4.84193
191,4.85022,4.8031,4.82743,4.84246
192,4.84684,4.80555,4.84332,4.84814
193,4.81119,4.78086,4.80623,4.81325
194,4.82384,4.78539,4.83001,4.83138
195,4.86379,4.80586,4.84127,4.84456
196,4.80379,4.77177,4.84072,4.81988
197,4.80791,4.76578,4.83251,4.804
198,4.81525,4.78679,4.82788,4.81172
199,4.80874,4.76886,4.82781,4.80824
200,4.80331,4.77383,4.80081,4.80376
201,4.80119,4.78278,4.79556,4.80352
202,4.8067,4.76383,4.80845,4.81196
203,4.83414,4.79277,4.83179,4.84199
204,4.88306,4.83829,4.88307,4.8766
205,4.83238,4.81167,4.83561,4.83762
206,4.81413,4.78607,4.81128,4.8143
207,4.80221,4.75695,4.79378,4.79418
208,4.8221,4.86758,4.8701,4.82966
209,4.84806,4.77896,4.81915,4.82513
210,4.80182,4.77597,4.80061,4.81073
211,4.81109,4.78219,4.81096,4.81443
212,4.82022,4.77793,4.83982,4.81764
213,4.81666,4.78217,4.82322,4.82426
214,4.80265,4.75899,4.80118,4.80681
215,4.81465,4.78044,4.81929,4.82426
216,4.81327,4.80354,4.84867,4.88971
217,4.81349,4.78045,4.82224,4.816
218,4.83881,4.80783,4.83618,4.84192
219,4.81569,4.78197,4.82703,4.83112
220,4.79256,4.76403,4.80297,4.80545
221,4.80041,4.77564,4.81296,4.84877
222,4.80629,4.77499,4.81994,4.84739
223,4.83573,4.82719,4.82222,4.85819
224,4.79572,4.7744,4.81516,4.8418
225,4.80019,4.79188,4.81555,4.86586
226,4.81352,4.77954,4.82388,4.84139
227,4.78668,4.76446,4.80768,4.83375
228,4.81826,4.78025,4.83418,4.83286
229,4.85437,4.82608,4.87107,4.88888
230,4.84323,4.82834,4.85916,4.87656
231,4.85182,4.80827,4.83362,4.85981
232,4.82454,4.81553,4.84713,4.85514
233,4.8211,4.79887,4.84929,4.87788
234,4.88953,4.89775,4.89204,4.90706
235,4.81348,4.82862,4.83119,4.83582
236,4.8619,4.83657,4.86821,4.89174
237,4.81115,4.80268,4.82784,4.86129
238,4.78823,4.77021,4.81582,4.83222
239,4.82206,4.80612,4.84848,4.83491
240,4.86074,4.79999,4.84621,4.88265
241,4.80649,4.79158,4.82493,4.82299
242,4.8171,4.79805,4.82998,4.82163
243,4.815,4.80127,4.82506,4.82263
244,4.82164,4.77787,4.82324,4.83931
245,4.8433,4.83609,4.86487,4.86112
246,4.74781,4.7329,4.80992,4.77935
247,4.75125,4.75628,4.79344,4.78695
248,4.77616,4.77469,4.80709,4.79894
249,4.80823,4.78883,4.82498,4.82939
250,4.81072,4.80157,4.82259,4.83828
251,4.80582,4.78419,4.81665,4.81862
252,4.84268,4.8172,4.84743,4.86067
253,4.80396,4.78448,4.81586,4.84517
254,4.78458,4.7718,4.79964,4.80203
255,4.8118,4.79088,4.82319,4.84721
256,4.78193,4.75916,4.80792,4.83042
257,4.78035,4.77958,4.81098,4.80585
258,4.79718,4.80555,4.82494,4.82225
259,4.79189,4.76769,4.81389,4.81779
260,4.7896,4.76533,4.81233,4.8128
261,4.80355,4.78144,4.82234,4.82178
262,4.79703,4.78014,4.81165,4.82095
263,4.78398,4.7734,4.80903,4.81841
264,4.69897,4.69484,4.73036,4.73772
265,4.7874,4.77302,4.81436,4.83421
266,4.78835,4.75668,4.83604,4.80424
267,4.79276,4.77074,4.82404,4.84613
268,4.77646,4.74364,4.79151,4.80394
269,4.78423,4.76204,4.81044,4.81789
270,4.7987,4.773,4.81475,4.818
271,4.80085,4.77898,4.81663,4.82139
272,4.8116,4.79938,4.83519,4.84904
273,4.79529,4.78336,4.81844,4.86211
274,4.78103,4.7679,4.81017,4.80978
275,4.75942,4.7421,4.77754,4.79149
276,4.78534,4.77315,4.81329,4.81301
277,4.77159,4.77327,4.79923,4.81648
278,4.7836,4.77642,4.81819,4.8188
279,4.77148,4.76721,4.79795,4.80816
280,4.785,4.81378,4.81869,4.82025
281,4.81559,4.8029,4.83671,4.83914
282,4.7702,4.7558,4.80707,4.81161
283,4.80667,4.79527,4.83034,4.84684
284,4.80902,4.79505,4.83067,4.83868
285,4.78482,4.7786,4.82104,4.82717
286,4.7737,4.76423,4.81029,4.8151
287,4.79045,4.78509,4.8219,4.82249
288,4.76031,4.75647,4.79862,4.80299
289,4.78909,4.77909,4.82471,4.82369
290,4.80088,4.79151,4.83242,4.83236
291,4.77209,4.75996,4.81048,4.81363
292,4.77938,4.76833,4.80638,4.81166
293,4.80207,4.78079,4.83296,4.8295
294,4.80054,4.79635,4.84405,4.83608
