step,exact,kimi,srd,srd_f,srd_gate,srdf_gate
100,5.07983,5.03034,5.13402,5.09983,0.685363,0.693293
101,5.57826,5.50529,5.58357,5.58899,0.679731,0.695439
102,5.04649,4.97726,4.95864,5.13587,0.6841,0.68849
103,5.06366,4.95901,5.00641,5.06463,0.684517,0.697108
104,5.18413,5.11001,5.17841,5.18048,0.690997,0.677921
105,4.75501,4.7063,4.79481,4.8553,0.686651,0.652038
106,5.15256,5.01115,5.18318,5.17845,0.673131,0.652441
107,4.95767,4.93202,4.98748,4.96562,0.667374,0.644156
108,5.14047,5.02003,5.10997,5.20038,0.676078,0.658319
109,4.75158,4.76018,4.81066,4.81804,0.681468,0.644395
110,5.11841,5.0116,5.08329,5.11507,0.691542,0.661364
111,5.12151,5.06147,5.15594,5.2098,0.69194,0.6578
112,4.79483,4.6965,4.80689,4.93118,0.678223,0.679169
113,4.86766,4.73072,4.75039,4.85072,0.668903,0.648014
114,5.15333,5.05045,5.07496,5.1763,0.68288,0.658769
115,5.56018,5.43608,5.50895,5.55039,0.675479,0.679307
116,5.44009,5.30691,5.4152,5.47453,0.684798,0.684492
117,5.30945,5.2648,5.38038,5.41517,0.678894,0.684984
118,5.31615,5.16604,5.3043,5.30447,0.684228,0.682697
119,5.09365,4.99097,5.04951,5.12583,0.695325,0.683477
120,5.26235,5.2018,5.29221,5.27791,0.687509,0.683249
121,5.45131,5.37328,5.45987,5.53508,0.680749,0.665446
122,4.93837,4.84689,4.96264,5.02869,0.675693,0.65805
123,4.3294,4.13831,4.23705,4.29948,0.654758,0.638963
124,5.19344,5.16146,5.21542,5.21248,0.671906,0.66203
125,5.27642,5.31095,5.38429,5.32372,0.652245,0.656006
126,4.95152,4.89254,5.05247,4.99446,0.652615,0.660459
127,5.25714,5.24552,5.39157,5.38026,0.666074,0.666151
128,4.93542,4.8329,4.99702,4.9881,0.657463,0.657842
129,5.20872,5.11459,5.26387,5.24511,0.668381,0.647456
130,5.23435,5.14937,5.25597,5.24896,0.664867,0.632053
131,4.9558,4.88701,4.95069,4.95956,0.66454,0.634111
132,5.07397,4.92246,5.03074,5.05609,0.658417,0.635684
133,5.09616,4.9666,5.06237,5.14746,0.662201,0.665083
134,5.19582,5.01071,5.13497,5.2211,0.658302,0.653639
135,4.73319,4.67914,4.72483,4.73364,0.655418,0.648593
136,5.53671,5.4602,5.56393,5.59971,0.654568,0.645441
137,5.03898,4.83439,4.95869,5.04941,0.657529,0.6388
138,4.69455,4.5764,4.68533,4.73876,0.650514,0.627615
139,5.13005,4.94416,5.07753,5.12163,0.653466,0.63242
140,4.82275,4.64429,4.80186,4.9085,0.65969,0.628168
141,4.99705,4.92399,5.00647,5.07294,0.651285,0.62467
142,4.66379,4.4998,4.64548,4.66336,0.663985,0.638114
143,4.94778,4.77024,4.88459,4.85687,0.663484,0.624166
144,5.2443,5.17886,5.15525,5.22641,0.656463,0.617832
145,5.47748,5.32627,5.4679,5.52312,0.658793,0.628017
146,5.43272,5.22002,5.38698,5.45299,0.656982,0.639133
147,4.99554,4.84462,4.98528,5.06644,0.656455,0.639035
148,4.81365,4.63914,4.79451,4.87337,0.653164,0.626595
149,4.9391,4.761,4.851,4.84367,0.645512,0.615839
150,4.97804,4.84672,5.02458,5.03095,0.642333,0.61834
151,5.10517,4.9606,5.11007,5.11488,0.642092,0.621416
152,5.26759,5.07884,5.21425,5.26267,0.65596,0.631574
153,5.22955,5.03033,5.16979,5.23201,0.651772,0.633162
154,5.03431,4.92491,5.0109,4.98445,0.641203,0.614309
155,4.81617,4.70459,4.8242,4.86885,0.643449,0.614063
156,5.17506,5.04871,5.15027,5.21427,0.637892,0.617514
157,5.18419,5.01801,5.14763,5.18206,0.644253,0.626496
158,4.27827,4.07707,4.18828,4.20524,0.639628,0.61245
159,4.83558,4.65903,4.84253,4.89964,0.64789,0.616922
160,4.50261,4.35764,4.46156,4.49089,0.642593,0.600693
161,5.04404,4.91006,5.07592,5.06474,0.645105,0.612545
162,4.82171,4.64677,4.84626,4.82329,0.657008,0.627178
163,4.82975,4.67364,4.75988,4.82134,0.63694,0.617498
164,5.13828,5.00093,5.13383,5.23026,0.646564,0.61988
165,4.78411,4.66238,4.77834,4.82719,0.631938,0.619888
166,5.21077,5.00483,5.1648,5.18958,0.648435,0.634097
167,4.68015,4.50502,4.65936,4.69347,0.653461,0.638899
168,4.97291,4.68422,4.89884,4.93793,0.642667,0.634467
169,5.36572,5.30155,5.35977,5.36432,0.644,0.628032
170,5.1027,4.96163,5.05231,5.10025,0.641805,0.630265
171,5.28672,5.11101,5.17678,5.19139,0.642558,0.637604
172,5.04395,4.90871,5.05565,5.08522,0.648307,0.624987
173,5.2196,5.10701,5.23836,5.23628,0.640137,0.625176
174,5.28618,5.15343,5.24645,5.30159,0.644359,0.628038
175,5.06601,5.02718,5.07953,5.13663,0.642613,0.619378
176,4.89442,4.71738,4.87243,4.88167,0.639307,0.6213
177,4.71671,4.5668,4.62841,4.67565,0.643341,0.632918
178,4.74904,4.70681,4.76788,4.81666,0.63692,0.630037
179,4.81146,4.65999,4.78599,4.86242,0.64932,0.643726
180,5.32012,5.17619,5.27908,5.29303,0.640688,0.64217
181,4.95517,4.85275,4.87457,4.9031,0.642614,0.661257
182,4.93642,4.84285,4.90389,4.95333,0.649171,0.658119
183,5.10621,4.98042,5.06839,5.11396,0.644664,0.635599
184,5.1885,5.05509,5.12519,5.18739,0.633348,0.6328
185,5.03024,4.8217,5.04425,5.03603,0.642617,0.64813
186,4.93547,4.71698,4.87691,4.88772,0.644503,0.637782
187,5.03982,4.88031,5.10731,5.13503,0.633416,0.625821
188,5.18408,5.06058,5.19176,5.20449,0.641886,0.629818
189,5.12836,4.95904,5.13859,5.07469,0.641875,0.633166
190,5.04168,4.87523,4.97875,5.02396,0.638391,0.630996
191,4.31451,4.10468,4.15804,4.27819,0.635156,0.618906
192,4.55275,4.38176,4.56685,4.59662,0.641417,0.625004
193,5.3432,5.24069,5.39564,5.34875,0.656146,0.647077
194,4.68489,4.49412,4.65814,4.66168,0.662835,0.661444
195,4.78361,4.60157,4.74142,4.78451,0.678017,0.655248
196,3.5174,3.52122,3.48549,3.50016,0.662916,0.625741
197,5.05093,4.92326,5.07044,5.10386,0.661877,0.638618
198,4.96817,4.81888,4.93255,4.93461,0.635069,0.62313
199,4.85308,4.79788,4.84133,4.86042,0.641904,0.624525
200,4.56733,4.42375,4.51761,4.56648,0.635284,0.629128
201,4.97801,4.78207,4.9101,4.9273,0.63591,0.638771
202,4.75549,4.63106,4.7574,4.83819,0.644146,0.620883
203,5.445,5.29284,5.42882,5.33758,0.633075,0.620328
