step,exact,kimi,srd,srd_f
146,4.90899,4.86885,4.91231,4.92882
147,4.81048,4.75315,4.81352,4.84545
148,4.78913,4.69165,4.78901,4.80473
149,4.88609,4.8034,4.87477,4.87089
150,4.83878,4.77282,4.83916,4.82593
151,4.84058,4.766,4.83544,4.83621
152,4.80145,4.72997,4.80706,4.8138
153,4.86475,4.78572,4.8582,4.86418
154,4.92271,4.85021,4.92386,4.92097
155,4.84674,4.77509,4.83826,4.84062
156,4.81028,4.75406,4.81403,4.80711
157,4.86243,4.78317,4.86493,4.8734
158,4.84716,4.77869,4.84488,4.84455
159,4.86606,4.79443,4.86384,4.87774
160,4.86288,4.77905,4.86303,4.88814
161,4.80374,4.71803,4.80609,4.80137
162,4.89493,4.77831,4.85534,4.87075
163,4.84294,4.78166,4.84124,4.85329
164,4.86699,4.82166,4.8667,4.87158
165,4.78727,4.68692,4.78799,4.78572
166,4.8443,4.72831,4.80688,4.85079
167,4.77761,4.69204,4.76995,4.77756
168,4.84988,4.8029,4.8512,4.87485
169,4.86954,4.796,4.81849,4.82951
170,4.84559,4.78154,4.83344,4.84688
171,4.86841,4.80169,4.87817,4.87886
172,4.92075,4.7918,4.88361,4.88591
173,4.88547,4.81426,4.87594,4.88116
174,4.80318,4.7636,4.80933,4.81432
175,4.78547,4.72923,4.79119,4.7958
176,4.81873,4.76064,4.82288,4.82061
177,4.82311,4.71582,4.81114,4.80521
178,4.81229,4.7526,4.81812,4.86547
179,4.84509,4.92257,4.84327,4.8333
180,4.84503,4.78021,4.85341,4.92037
181,4.83265,4.71911,4.80113,4.79994
182,4.85855,4.75743,4.84909,4.83926
183,4.83493,4.74112,4.83048,4.83156
184,4.84347,4.77757,4.85437,4.84476
185,4.79688,4.72449,4.79786,4.799
186,4.86831,4.78999,4.8678,4.86095
187,4.79,4.69122,4.78712,4.79756
188,4.87046,4.78541,4.8652,4.86668
189,4.8696,4.8135,4.86257,4.86891
190,4.75352,4.69406,4.75252,4.75449
191,4.83443,4.76866,4.84695,4.83419
192,4.8039,4.73464,4.80623,4.80468
193,4.80407,4.71966,4.79773,4.84555
194,4.76656,4.70154,4.76298,4.77116
195,4.8549,4.79272,4.89447,4.85651
196,4.87081,4.79854,4.86488,4.85949
197,4.83472,4.76289,4.83884,4.83921
198,4.84292,4.75936,4.84233,4.84392
199,4.84531,4.77722,4.84561,4.84665
200,4.79915,4.7199,4.80354,4.81197
201,4.81896,4.72927,4.82214,4.81297
202,4.82874,4.74253,4.82873,4.82729
203,4.78956,4.70378,4.79053,4.79128
204,4.83069,4.75958,4.83332,4.94806
205,4.84827,4.77781,4.85256,4.85145
206,4.82964,4.74682,4.8336,4.82995
207,4.7741,4.67895,4.76864,4.7698
208,4.81801,4.72983,4.81237,4.87505
209,4.8597,4.78811,4.85936,4.86191
210,4.83841,4.76405,4.84221,4.88344
211,4.83158,4.74594,4.83345,4.84607
212,4.79502,4.71123,4.78432,4.79722
213,4.82719,4.74824,4.8285,4.85468
214,4.81014,4.73922,4.81285,4.84068
215,4.81611,4.71832,4.8129,4.88813
216,4.78763,4.70927,4.79085,4.79923
217,4.826,4.75836,4.8347,4.82598
218,4.81121,4.72191,4.81174,4.84212
219,4.80567,4.72437,4.8097,4.81842
220,4.80918,4.73366,4.81402,4.83482
221,4.80005,4.72776,4.80108,4.79861
222,4.83528,4.73912,4.86174,4.81918
223,4.81239,4.73411,4.8204,4.81311
224,4.84409,4.76133,4.84995,4.84441
225,4.87361,4.78615,4.88003,4.87461
226,4.86424,4.77747,4.86045,4.85515
