step,exact,kimi,srd,srd_f
1,5.57337,5.57351,5.57337,5.57337
2,5.42969,5.43367,5.4298,5.42981
3,5.33206,5.33051,5.33248,5.33252
4,5.24077,5.23778,5.24134,5.24136
5,5.13656,5.13421,5.13554,5.13551
6,5.06111,5.05556,5.06118,5.06112
7,5.13371,5.01975,5.12591,5.12634
8,5.00073,4.98458,4.99922,4.99929
9,4.96361,4.94688,4.96308,4.96302
10,4.83826,4.82199,4.83722,4.83723
11,4.90406,4.89009,4.90264,4.90216
12,4.81473,4.81525,4.81573,4.81572
13,4.76526,4.7609,4.76515,4.76571
14,4.67817,4.65322,4.67607,4.67634
15,4.73886,4.72151,4.73735,4.73771
16,4.68581,4.67444,4.68486,4.68519
17,4.68437,4.67739,4.68429,4.68447
18,4.58306,4.57081,4.58265,4.58318
19,4.66317,4.65392,4.66075,4.6602
20,4.62757,4.62206,4.62806,4.62866
21,4.64091,4.66175,4.65984,4.66333
22,4.58172,4.57357,4.58396,4.60028
23,4.59246,4.59054,4.59539,4.61171
24,4.60833,4.60057,4.60552,4.6063
25,4.59657,4.59066,4.59589,4.59887
26,4.60747,4.58692,4.60564,4.6104
27,4.60557,4.59255,4.605,4.60681
28,4.74106,4.5442,4.62267,4.58536
29,4.58841,4.54919,4.57658,4.58743
30,4.58254,4.54164,4.56723,4.58291
31,4.61927,4.57972,4.61639,4.6146
32,4.57272,4.53846,4.57794,4.5911
33,4.59592,4.5494,4.58055,4.59507
34,4.60548,4.54376,4.59463,4.57133
35,4.58845,4.54383,4.56696,4.57265
36,4.58226,4.55208,4.56191,4.56943
37,4.5455,4.54144,4.54918,4.55946
38,4.58334,4.56689,4.57937,4.58746
39,4.54284,4.51826,4.51933,4.53208
40,4.52467,4.52512,4.52891,4.54423
41,4.5059,4.48722,4.50006,4.50374
42,4.53412,4.52145,4.52421,4.5313
43,4.52099,4.50911,4.51829,4.52203
44,4.53556,4.53154,4.53505,4.53685
45,4.53608,4.5249,4.52913,4.53752
46,4.50738,4.50369,4.50739,4.50575
47,4.5514,4.54771,4.54848,4.54922
48,4.49033,4.4793,4.47767,4.47981
