step,lane,answer_ce,answer_acc,tail_gate,fill_gate
25,exact,2.49041,0.03125,0,0
25,kimi,2.50745,0.03125,0,0
25,srd,2.50881,0.03125,0.947623,0.924617
25,srd_f,2.51517,0.03125,0.922822,0.922655
50,exact,2.25944,0.09375,0,0
50,kimi,2.25799,0.09375,0,0
50,srd,2.26204,0.09375,0.932026,0.871067
50,srd_f,2.25549,0.09375,0.854231,0.866234
75,exact,2.11607,0.125,0,0
75,kimi,2.12417,0.0625,0,0
75,srd,2.13852,0.125,0.881796,0.79989
75,srd_f,2.1223,0.125,0.85056,0.849235
100,exact,2.22435,0.1875,0,0
100,kimi,2.22648,0.125,0,0
100,srd,2.22619,0.15625,0.847228,0.708458
100,srd_f,2.26865,0.15625,0.832334,0.835736
125,exact,2.10912,0.125,0,0
125,kimi,2.08007,0.21875,0,0
125,srd,2.08426,0.21875,0.76992,0.595207
125,srd_f,2.09403,0.15625,0.810971,0.811071
150,exact,2.20916,0.125,0,0
150,kimi,2.19539,0.125,0,0
150,srd,2.20342,0.125,0.807095,0.523194
150,srd_f,2.20379,0.125,0.81545,0.814191
175,exact,2.12573,0.09375,0,0
175,kimi,2.10209,0.09375,0,0
175,srd,2.10409,0.09375,0.71883,0.387552
175,srd_f,2.07374,0.09375,0.786993,0.79049
200,exact,2.17668,0.15625,0,0
200,kimi,2.17876,0.15625,0,0
200,srd,2.1778,0.15625,0.661626,0.330635
200,srd_f,2.16298,0.15625,0.77309,0.78013
225,exact,2.16431,0.15625,0,0
225,kimi,2.16226,0.15625,0,0
225,srd,2.32313,0.15625,0.690224,0.475102
225,srd_f,2.15862,0.15625,0.767575,0.76709
250,exact,2.04714,0.21875,0,0
250,kimi,2.0414,0.21875,0,0
250,srd,2.04654,0.21875,0.831315,0.39849
250,srd_f,2.04721,0.21875,0.747537,0.742474
275,exact,2.0776,0.1875,0,0
275,kimi,2.07564,0.1875,0,0
275,srd,2.08104,0.1875,0.773071,0.358229
275,srd_f,2.07947,0.1875,0.731389,0.730982
300,exact,2.25791,0.15625,0,0
300,kimi,2.24939,0.15625,0,0
300,srd,2.21521,0.15625,0.70607,0.317922
300,srd_f,2.24434,0.15625,0.708146,0.722661
325,exact,2.18008,0.03125,0,0
325,kimi,2.17832,0.03125,0,0
325,srd,2.2417,0.03125,0.593376,0.303978
325,srd_f,2.18392,0.03125,0.707192,0.716026
350,exact,2.09736,0.0625,0,0
350,kimi,2.09774,0.0625,0,0
350,srd,2.10858,0.0625,0.735795,0.307143
350,srd_f,2.09233,0.0625,0.706691,0.716428
375,exact,2.14158,0.15625,0,0
375,kimi,2.14433,0.15625,0,0
375,srd,2.13902,0.15625,0.732469,0.301467
375,srd_f,2.13908,0.15625,0.73345,0.720233
400,exact,2.24847,0.09375,0,0
400,kimi,2.24845,0.09375,0,0
400,srd,2.25337,0.09375,0.692685,0.295415
400,srd_f,2.25499,0.09375,0.715382,0.72536
425,exact,2.02145,0.1875,0,0
425,kimi,2.01678,0.1875,0,0
425,srd,2.02198,0.1875,0.664433,0.292425
425,srd_f,2.01935,0.1875,0.702336,0.705221
450,exact,2.26403,0.0625,0,0
450,kimi,2.26431,0.0625,0,0
450,srd,2.25592,0.0625,0.613172,0.290722
450,srd_f,2.25797,0.0625,0.74171,0.720292
475,exact,2.13374,0.125,0,0
475,kimi,2.13602,0.125,0,0
475,srd,2.1267,0.125,0.557013,0.289198
