step,exact,kimi,srd,srd_f
1,5.56313,5.56385,5.56315,5.56315
2,5.47229,5.46959,5.4725,5.47251
3,5.33611,5.33664,5.33623,5.33623
4,5.24247,5.24688,5.24321,5.24322
5,5.13773,5.14412,5.13842,5.13843
6,5.05321,5.04826,5.05406,5.05432
7,5.03254,5.00438,5.03279,5.03315
8,5.01794,4.97403,5.01836,5.01893
9,4.93185,4.91688,4.93326,4.93336
10,4.82455,4.79725,4.82428,4.82452
11,4.83669,4.94994,4.83721,4.83746
12,4.79376,4.7843,4.79634,4.79584
13,4.73773,4.74227,4.72838,4.72777
14,4.67648,4.66811,4.67864,4.67758
15,4.71063,4.69355,4.71111,4.71146
16,4.67247,4.66614,4.67216,4.67206
17,4.69058,4.681,4.70752,4.68467
18,4.57768,4.57218,4.5796,4.58183
19,4.65337,4.62401,4.66248,4.65556
20,4.62019,4.60163,4.62378,4.6206
21,4.63057,4.60937,4.63316,4.63347
22,4.58216,4.56387,4.58258,4.58206
23,4.60287,4.57405,4.60229,4.60517
24,4.61539,4.58292,4.61538,4.61581
25,4.59534,4.56516,4.59355,4.59488
26,4.61937,4.58099,4.61911,4.61733
27,4.62168,4.58736,4.62394,4.62056
28,4.57036,4.52809,4.57028,4.56722
29,4.61034,4.54867,4.60934,4.60597
30,4.56604,4.52128,4.5684,4.62361
31,4.60263,4.56042,4.60189,4.59768
32,4.60402,4.52291,4.5786,4.57386
33,4.62258,4.52908,4.57619,4.61062
34,4.57821,4.53689,4.58004,4.58082
35,4.59746,4.5255,4.61111,4.56555
36,4.61819,4.55287,4.58969,4.58377
37,4.57697,4.53985,4.56875,4.5699
38,4.57503,4.56434,4.58537,4.59132
39,4.55887,4.52798,4.53924,4.53846
40,4.54931,4.53238,4.54698,4.53317
41,4.49734,4.48125,4.49459,4.49161
42,4.52079,4.5284,4.53005,4.52383
43,4.50891,4.50225,4.51555,4.53154
44,4.545,4.53149,4.54354,4.53965
45,4.51573,4.5134,4.52062,4.5218
46,4.51239,4.50148,4.52568,4.51411
47,4.55183,4.5474,4.55562,4.5621
48,4.49868,4.47764,4.49244,4.4891
49,4.50521,4.49768,4.5028,4.50793
50,4.53194,4.52425,4.53263,4.5338
51,4.54166,4.54132,4.54182,4.54779
52,4.56518,4.56509,4.56769,4.56325
53,4.53306,4.52977,4.5372,4.53837
54,4.55973,4.55102,4.5596,4.54808
55,4.5145,4.50822,4.51405,4.5103
56,4.49956,4.48955,4.49867,4.4906
57,4.48407,4.47973,4.51003,4.48604
58,4.50783,4.49901,4.50423,4.50496
59,4.50701,4.50141,4.5021,4.51475
60,4.54387,4.53824,4.54432,4.54156
61,4.51915,4.51584,4.52012,4.522
62,4.54051,4.54405,4.54375,4.5414
63,4.51934,4.51696,4.52452,4.53564
64,4.53489,4.52939,4.53537,4.55022
65,4.51746,4.51707,4.51786,4.51818
66,4.51297,4.51762,4.50844,4.51419
67,4.50971,4.51304,4.51374,4.51107
68,4.52456,4.52402,4.52348,4.54338
69,4.49131,4.48413,4.48455,4.49307
70,4.52801,4.51703,4.5211,4.52566
71,4.53718,4.53277,4.53105,4.5336
72,4.52905,4.51771,4.52784,4.52185
73,4.48867,4.49158,4.48546,4.48449
74,4.51897,4.51065,4.51564,4.52917
75,4.51256,4.50795,4.51548,4.51444
76,4.49897,4.49059,4.49633,4.49437
77,4.51463,4.50633,4.52004,4.51572
78,4.48456,4.48133,4.4854,4.48322
79,4.54512,4.53945,4.54693,4.54248
80,4.46877,4.46638,4.46786,4.46905
81,4.52159,4.51998,4.51705,4.51851
82,4.52379,4.5258,4.51965,4.51885
83,4.52983,4.53078,4.53289,4.52825
84,4.49032,4.48954,4.4891,4.48973
85,4.47187,4.47284,4.47236,4.47457
86,4.45993,4.45806,4.46156,4.45936
87,4.51144,4.50834,4.50955,4.51305
88,4.49007,4.48915,4.49529,4.49395
89,4.54797,4.51468,4.51902,4.52303
90,4.52705,4.53134,4.52808,4.52857
91,4.52259,4.49791,4.49866,4.50004
92,4.5271,4.54683,4.52816,4.52522
93,4.4884,4.49447,4.49178,4.49014
94,4.48798,4.48925,4.48523,4.48364
95,4.50752,4.51253,4.50457,4.50539
96,4.50237,4.50259,4.50477,4.50322
97,4.50308,4.50314,4.50062,4.50134
98,4.51398,4.50302,4.51127,4.49802
99,4.50333,4.48922,4.48459,4.48812
100,4.53793,4.53374,4.53495,4.53616
101,4.52925,4.52167,4.52199,4.52522
102,4.50804,4.50001,4.50412,4.50363
103,4.50632,4.5028,4.50307,4.50617
104,4.49648,4.49657,4.49731,4.49731
105,4.51008,4.50516,4.5059,4.50699
106,4.50305,4.5003,4.49694,4.50028
107,4.48669,4.48923,4.49529,4.48904
108,4.51359,4.50426,4.50747,4.51218
109,4.49709,4.49887,4.50669,4.50591
110,4.50566,4.50146,4.49291,4.50351
111,4.48506,4.4892,4.48686,4.49077
112,4.5012,4.47249,4.46849,4.4685
113,4.49747,4.49969,4.49636,4.49942
114,4.51479,4.51024,4.51002,4.51113
115,4.51908,4.52011,4.522,4.52193
116,4.4877,4.48479,4.48844,4.48928
117,4.49115,4.49286,4.49539,4.4925
118,4.47424,4.4749,4.47604,4.47371
119,4.56215,4.56168,4.5609,4.5633
120,4.47422,4.4725,4.47346,4.47449
121,4.50532,4.49581,4.50164,4.49627
122,4.49021,4.49214,4.49328,4.49877
123,4.48774,4.48546,4.48865,4.48473
124,4.49917,4.49871,4.52026,4.49954
125,4.49768,4.49689,4.49432,4.49233
126,4.50457,4.50468,4.50465,4.50404
127,4.50176,4.49772,4.49856,4.49888
128,4.5284,4.50937,4.51127,4.51271
129,4.50363,4.49996,4.50129,4.50117
130,4.45621,4.45699,4.45374,4.45294
131,4.51593,4.51653,4.5145,4.51605
132,4.49852,4.49606,4.49992,4.49995
133,4.46306,4.46611,4.46484,4.4673
134,4.49434,4.49861,4.49488,4.49826
135,4.51993,4.52123,4.52143,4.52322
136,4.5103,4.50863,4.51024,4.50894
137,4.4972,4.49886,4.49558,4.49788
138,4.49235,4.49361,4.49456,4.49153
139,4.47553,4.47388,4.47736,4.48023
140,4.45502,4.45431,4.45504,4.45717
141,4.48281,4.4848,4.48451,4.48228
142,4.49211,4.492,4.49288,4.49269
143,4.50698,4.50429,4.50342,4.50903
144,4.49658,4.49589,4.49482,4.49558
145,4.49787,4.49688,4.49679,4.49858
146,4.51297,4.50996,4.50999,4.51082
147,4.5126,4.51109,4.51058,4.51027
148,4.51445,4.51286,4.51394,4.51357
149,4.50627,4.5027,4.50537,4.50353
150,4.49981,4.49924,4.50123,4.49856
151,4.49116,4.48392,4.48811,4.48818
152,4.48005,4.47449,4.47799,4.4773
153,4.50938,4.50738,4.50472,4.50303
154,4.49723,4.49772,4.49647,4.49929
155,4.51488,4.51695,4.51752,4.51607
156,4.5102,4.50925,4.51086,4.50784
157,4.46118,4.46242,4.45984,4.46183
158,4.50018,4.50287,4.50148,4.50012
159,4.50851,4.51009,4.51167,4.50983
160,4.49855,4.49757,4.49723,4.49815
161,4.49133,4.48513,4.48796,4.48902
162,4.5076,4.50841,4.50747,4.50693
163,4.47934,4.47628,4.48035,4.47908
164,4.4828,4.47898,4.47983,4.47908
165,4.51044,4.51026,4.51053,4.51239
166,4.47776,4.48061,4.48189,4.47913
167,4.49272,4.4907,4.48948,4.4911
168,4.48275,4.48371,4.48493,4.48358
169,4.52621,4.51815,4.52155,4.52466
170,4.5077,4.50505,4.50697,4.50856
171,4.49018,4.49154,4.48834,4.49084
172,4.50732,4.5049,4.50369,4.50577
173,4.50156,4.49977,4.49922,4.50093
174,4.48432,4.48253,4.48167,4.47961
175,4.48883,4.48907,4.48919,4.48923
176,4.49368,4.49337,4.49273,4.492
177,4.46295,4.46065,4.46274,4.46276
178,4.48441,4.48247,4.48434,4.4832
179,4.47837,4.47703,4.47478,4.47797
180,4.49328,4.49354,4.49477,4.49183
181,4.48563,4.4825,4.47981,4.47977
182,4.50845,4.50888,4.50818,4.50775
183,4.49891,4.49784,4.4977,4.49715
184,4.45846,4.45769,4.45784,4.45794
185,4.51744,4.51931,4.5207,4.51751
186,4.49922,4.49865,4.49737,4.49786
187,4.5058,4.5045,4.50354,4.50459
188,4.47682,4.47822,4.4785,4.47647
189,4.50836,4.50708,4.50663,4.50424
190,4.51369,4.51305,4.51505,4.51207
191,4.47786,4.47264,4.47506,4.47723
192,4.47703,4.47334,4.47528,4.47505
193,4.52666,4.52881,4.52846,4.52836
194,4.49283,4.49204,4.49597,4.49462
195,4.47744,4.48188,4.48214,4.47944
196,4.48749,4.4894,4.48807,4.48736
197,4.4802,4.47812,4.48049,4.47847
198,4.50502,4.50009,4.50037,4.50051
199,4.5165,4.51685,4.51754,4.51845
200,4.47882,4.47423,4.47392,4.47257
201,4.49671,4.50031,4.49982,4.49928
202,4.48392,4.46466,4.46556,4.46717
203,4.49489,4.49396,4.49264,4.49268
204,4.50775,4.50952,4.50999,4.50905
205,4.50893,4.50662,4.50501,4.50453
206,4.52486,4.52485,4.52841,4.52786
207,4.47127,4.47148,4.47384,4.47442
208,4.48183,4.48622,4.48656,4.48528
209,4.49698,4.49595,4.49587,4.49571
210,4.50727,4.50831,4.51113,4.51093
211,4.48742,4.48291,4.48597,4.48663
212,4.4618,4.46337,4.46244,4.46264
213,4.4745,4.47461,4.4758,4.47784
214,4.46707,4.46755,4.46444,4.46548
215,4.5031,4.50023,4.50138,4.50019
216,4.48531,4.48733,4.4846,4.48454
217,4.48486,4.48359,4.48459,4.48325
218,4.47285,4.471,4.47003,4.47118
219,4.48886,4.48788,4.4881,4.48787
220,4.50228,4.50204,4.50153,4.49948
221,4.47314,4.47197,4.47118,4.47245
222,4.48438,4.4856,4.48688,4.48434
223,4.503,4.49879,4.49967,4.49922
224,4.47209,4.47282,4.47316,4.47142
225,4.47864,4.47611,4.47697,4.47725
226,4.498,4.49948,4.4998,4.4995
227,4.47458,4.47096,4.47317,4.47227
228,4.52303,4.52142,4.52246,4.52175
229,4.50336,4.5021,4.5005,4.50183
230,4.50005,4.50206,4.50182,4.5004
231,4.48094,4.47718,4.47722,4.47715
232,4.48584,4.48698,4.48557,4.48526
233,4.49472,4.49499,4.49254,4.49273
234,4.47405,4.47302,4.47362,4.47283
235,4.48825,4.48725,4.4879,4.48735
236,4.49216,4.48859,4.48898,4.49076
237,4.47399,4.47189,4.47307,4.47415
238,4.47107,4.47022,4.46898,4.47003
239,4.49987,4.48548,4.48503,4.48431
240,4.48038,4.47893,4.47832,4.48029
241,4.49865,4.49834,4.50012,4.50029
242,4.46453,4.46409,4.46374,4.46402
243,4.48586,4.48232,4.48419,4.48298
244,4.48598,4.48308,4.48393,4.48361
245,4.48939,4.48871,4.48884,4.48943
246,4.47666,4.47724,4.47772,4.49864
247,4.50603,4.50563,4.50515,4.50413
248,4.49266,4.48986,4.48981,4.49011
249,4.47829,4.47733,4.47758,4.47652
250,4.49033,4.48774,4.48919,4.49003
251,4.49243,4.49233,4.49237,4.4917
252,4.48696,4.48683,4.4875,4.48676
253,4.48364,4.48279,4.48363,4.49741
254,4.51242,4.50957,4.51258,4.51247
255,4.47132,4.47298,4.47259,4.47235
256,4.50751,4.50761,4.50796,4.50606
257,4.48734,4.4874,4.4878,4.48621
258,4.48478,4.48395,4.48401,4.48325
259,4.49638,4.49837,4.49715,4.49638
