step,exact,kimi,srd,srd_f
145,4.51559,4.49557,4.49308,4.49601
146,4.50827,4.50491,4.50893,4.51259
147,4.51839,4.51656,4.51764,4.52002
148,4.50926,4.50925,4.51654,4.51831
149,4.51498,4.50805,4.50864,4.508
150,4.49976,4.50011,4.50282,4.50082
151,4.49134,4.48251,4.48627,4.48904
152,4.48695,4.47753,4.48166,4.47932
153,4.51478,4.50918,4.51136,4.50823
154,4.50405,4.50027,4.50041,4.50348
155,4.5133,4.51861,4.51918,4.52257
156,4.54256,4.52139,4.52066,4.52109
157,4.45932,4.46063,4.46264,4.46195
158,4.50994,4.5089,4.50764,4.50562
159,4.51542,4.51335,4.51133,4.51448
160,4.50064,4.4977,4.49672,4.49974
161,4.48833,4.48818,4.48795,4.48162
162,4.50565,4.50872,4.50922,4.52394
163,4.47563,4.4805,4.47507,4.47864
164,4.47997,4.48158,4.48349,4.48957
165,4.51489,4.51325,4.51361,4.51634
166,4.48295,4.48234,4.47934,4.48451
167,4.49442,4.48619,4.48777,4.48966
168,4.48271,4.48449,4.48239,4.48961
169,4.51655,4.52322,4.52059,4.52788
170,4.50067,4.50421,4.50422,4.50469
171,4.48874,4.49163,4.49139,4.49261
172,4.49969,4.50302,4.5018,4.5043
173,4.50302,4.4996,4.49954,4.49953
174,4.4808,4.48121,4.48197,4.48254
175,4.49362,4.49288,4.49383,4.49236
176,4.4955,4.49574,4.49676,4.49788
177,4.46407,4.46297,4.46425,4.46485
178,4.49034,4.48698,4.48983,4.48582
179,4.4838,4.47854,4.47775,4.48131
180,4.49655,4.49659,4.4991,4.50029
181,4.47957,4.47805,4.47894,4.47755
182,4.51405,4.50902,4.51236,4.51145
183,4.503,4.49417,4.49599,4.49679
184,4.4607,4.45977,4.46151,4.46274
185,4.52562,4.51987,4.52388,4.51674
186,4.49617,4.4991,4.49926,4.49927
187,4.50345,4.50571,4.50292,4.50601
188,4.4788,4.47564,4.47658,4.47909
189,4.51331,4.508,4.50894,4.50557
190,4.51662,4.5142,4.51684,4.51591
191,4.47962,4.47915,4.47892,4.48787
192,4.47533,4.4737,4.47377,4.47167
193,4.5303,4.52641,4.52668,4.52359
194,4.50284,4.50213,4.50152,4.50323
195,4.48184,4.486,4.48786,4.48461
196,4.48576,4.48617,4.48809,4.48467
197,4.48175,4.47848,4.47927,4.48018
198,4.50499,4.50238,4.50059,4.51023
199,4.52007,4.52142,4.51919,4.52366
200,4.46923,4.47102,4.47141,4.47186
201,4.49771,4.49583,4.49733,4.50175
202,4.46505,4.46465,4.46568,4.46754
203,4.49382,4.49276,4.4939,4.49999
204,4.51335,4.51193,4.51407,4.51432
205,4.51235,4.51024,4.50952,4.51204
206,4.53201,4.52935,4.53549,4.5321
207,4.481,4.47764,4.48037,4.47769
208,4.48774,4.48853,4.4902,4.48928
209,4.4956,4.49614,4.49516,4.50068
210,4.51486,4.51495,4.51728,4.51651
211,4.48726,4.49126,4.49541,4.48917
212,4.46294,4.45601,4.46096,4.47014
213,4.48069,4.47768,4.47813,4.47759
214,4.46595,4.46539,4.46611,4.46785
215,4.49744,4.49819,4.50023,4.5046
216,4.48705,4.48347,4.49226,4.48847
217,4.48908,4.48589,4.49041,4.48303
218,4.47176,4.46967,4.4687,4.47036
219,4.49131,4.49088,4.48549,4.49073
220,4.50629,4.50255,4.5041,4.50165
221,4.47754,4.47733,4.47552,4.47748
222,4.48025,4.48008,4.4801,4.47957
223,4.49942,4.49652,4.49297,4.49874
224,4.46932,4.4688,4.47472,4.47079
225,4.48168,4.47983,4.47378,4.47765
226,4.50141,4.50114,4.49988,4.50389
227,4.4747,4.47696,4.47987,4.47829
228,4.52535,4.52259,4.52617,4.52592
229,4.50481,4.50415,4.50503,4.50687
230,4.50413,4.50426,4.50438,4.50165
231,4.47843,4.47685,4.47469,4.47983
232,4.48219,4.48359,4.48629,4.48368
233,4.49222,4.49373,4.49488,4.49221
234,4.47411,4.47283,4.47294,4.47673
235,4.48674,4.48793,4.48772,4.48855
236,4.4959,4.48967,4.49153,4.49454
237,4.46973,4.46976,4.47771,4.47128
238,4.46478,4.47268,4.47246,4.46662
239,4.48646,4.48591,4.48915,4.48845
240,4.48022,4.47759,4.48088,4.47801
