step,exact,kimi,srd,srd_f,srd_gate,srdf_gate
100,6.53484,6.36073,6.3662,6.46208,0.762483,0.672943
101,6.56491,6.54957,6.39869,6.5352,0.770817,0.662238
102,6.04373,6.09894,6.05371,6.1674,0.755054,0.671683
103,6.08468,6.09795,6.05514,6.11311,0.742276,0.664737
104,6.10727,5.96429,6.12441,6.18771,0.752524,0.675294
105,5.74104,5.62622,5.67636,5.64928,0.723436,0.69015
106,6.00128,5.71014,5.79335,5.89795,0.696402,0.711827
107,6.39683,6.32197,6.49077,6.36921,0.720606,0.708805
108,5.42256,5.21902,5.22947,5.39417,0.689536,0.665519
109,6.13939,6.06763,6.00005,6.11887,0.665034,0.655895
110,6.31998,6.24437,6.35218,6.23103,0.670551,0.64516
111,5.32335,5.13316,5.17503,5.1642,0.637444,0.641725
112,5.34835,5.29373,5.33831,5.19123,0.629187,0.677922
113,5.9198,5.88067,5.95233,5.88881,0.649871,0.686839
114,6.08446,5.97122,6.05939,6.15605,0.628479,0.730546
115,5.78025,5.63677,5.70776,5.75726,0.624246,0.686331
116,6.62435,6.62999,6.54973,6.70143,0.640478,0.694759
117,6.42499,6.51555,6.39634,6.42259,0.644343,0.66256
118,5.36192,5.18405,5.305,5.36338,0.638204,0.645413
119,5.94279,5.89255,5.9951,5.99201,0.656189,0.6544
120,5.91412,5.75113,5.8276,5.85746,0.64856,0.629247
121,6.40037,6.17839,6.26016,6.27875,0.651403,0.629925
122,6.18004,6.0453,6.19739,6.18034,0.650505,0.63346
123,5.83366,5.57346,5.60867,5.82363,0.646182,0.63007
124,5.32192,5.19079,5.24386,5.45432,0.614758,0.626333
125,5.82316,5.78855,5.93475,5.86689,0.654613,0.618464
126,6.28977,6.08655,6.20087,6.1689,0.636129,0.609774
127,5.57056,5.37026,5.45007,5.47838,0.630234,0.592796
128,5.71432,5.52124,5.61963,5.64139,0.634279,0.604457
129,6.32728,6.21677,6.27656,6.29054,0.61384,0.610446
130,6.34479,6.27393,6.37025,6.37868,0.598786,0.606755
131,6.21795,6.10164,6.11955,6.20118,0.622585,0.61275
132,6.60778,6.65333,6.58217,6.75019,0.609684,0.598072
133,5.7819,5.71673,5.77468,5.82238,0.596268,0.615082
134,6.26209,6.24286,6.24295,6.29797,0.633223,0.630147
135,6.06439,5.88961,5.92573,5.94389,0.638743,0.644599
136,5.85141,5.62291,5.64661,5.62759,0.608901,0.629694
137,6.22415,6.05093,6.23809,6.13498,0.632439,0.631529
138,6.10203,6.17477,6.10568,6.07308,0.630858,0.625996
139,6.14067,6.11793,6.1021,6.12103,0.626815,0.632344
140,6.14553,6.09733,6.11401,6.16952,0.633175,0.632824
141,5.45406,5.40972,5.30405,5.3767,0.613522,0.633501
142,5.38753,5.29132,5.44115,5.35719,0.617005,0.621453
143,5.49014,5.46328,5.5348,5.44738,0.609604,0.633988
144,6.13725,5.9891,6.08005,5.97726,0.613726,0.624092
145,5.39221,5.40708,5.57517,5.3853,0.623803,0.628524
146,5.66502,5.69207,5.89108,5.66851,0.607306,0.604339
147,5.21593,5.10835,5.21934,5.23382,0.59178,0.604862
148,4.77564,4.59815,4.79494,4.69487,0.580577,0.608915
149,5.60216,5.59152,5.65498,5.65444,0.610339,0.620379
150,5.86043,5.75536,5.86774,5.87238,0.610181,0.606953
151,6.19044,6.17954,6.2722,6.21752,0.594033,0.607607
152,4.12882,3.9201,3.95152,4.0716,0.584068,0.630817
153,5.50622,5.49979,5.43773,5.50369,0.624586,0.621594
154,5.75101,5.68556,5.74349,5.69029,0.635004,0.62202
155,5.89846,5.91461,5.99359,5.91853,0.611057,0.63346
156,5.70773,5.53837,5.67466,5.68967,0.61354,0.610583
157,6.60407,6.44581,6.67744,6.62192,0.631544,0.599366
158,5.50321,5.45021,5.53894,5.50908,0.619589,0.582425
159,5.94696,5.93201,5.9119,5.87674,0.62799,0.579428
160,5.3052,5.32301,5.28808,5.24552,0.632197,0.589969
161,5.94745,5.76207,5.95095,5.84462,0.617956,0.60686
162,5.61239,5.53869,5.57616,5.65397,0.61577,0.594193
163,5.90766,5.83591,5.93119,5.99052,0.589092,0.584531
164,5.50749,5.41965,5.50038,5.50038,0.601891,0.587147
165,6.20123,5.9858,6.13892,6.24796,0.585987,0.580219
166,4.54259,4.59609,4.54065,4.49444,0.541063,0.545492
167,5.49262,5.36813,5.5496,5.48494,0.602215,0.582064
168,5.81828,5.79988,5.90483,5.90538,0.586937,0.582575
169,5.78106,5.57967,5.71114,5.77548,0.597656,0.588151
170,5.8971,5.83369,5.96016,5.93737,0.583933,0.574683
171,5.28271,5.25098,5.28637,5.26895,0.590813,0.570184
172,6.29583,6.2583,6.27284,6.34119,0.610444,0.582593
173,6.18707,6.15409,6.23799,6.14429,0.629205,0.575124
174,5.81265,5.65655,5.66905,5.83184,0.630499,0.575034
175,5.48067,5.29895,5.45261,5.51007,0.601703,0.569786
176,5.44038,5.38577,5.46715,5.46976,0.594045,0.561955
177,5.09701,5.06967,5.00246,5.08219,0.605275,0.573661
178,6.10627,6.12696,6.07887,6.08557,0.612056,0.581678
179,5.40239,5.30252,5.47303,5.4835,0.62126,0.579684
180,6.02669,6.06663,5.96263,5.99113,0.621201,0.580388
181,5.73073,5.6888,5.71093,5.77546,0.608186,0.576179
182,6.31279,6.32937,6.30309,6.3376,0.604031,0.579259
183,5.89917,5.62665,5.85044,5.91115,0.611647,0.579744
184,6.11391,6.02786,6.07451,6.18877,0.619626,0.588072
185,5.37351,5.29501,5.31989,5.32197,0.606619,0.583213
186,5.46424,5.38087,5.41857,5.4157,0.595556,0.583404
187,5.78345,5.64258,5.77396,5.73309,0.607354,0.577446
188,4.42324,4.38317,4.50204,4.41864,0.554053,0.555194
189,5.16628,5.10808,5.0334,5.15546,0.60615,0.582743
190,5.68584,5.51538,5.60105,5.69158,0.603465,0.580808
191,5.16364,5.08135,5.17708,5.20745,0.582562,0.557027
192,6.1819,6.04284,6.09473,6.1077,0.603045,0.576886
193,5.07986,4.9518,5.09233,5.08667,0.605066,0.57436
194,5.92152,5.77777,5.81421,5.76075,0.621261,0.580953
195,5.6588,5.3785,5.57757,5.66834,0.609355,0.588901
196,5.80573,5.66259,5.90686,5.84632,0.599618,0.591986
197,5.62804,5.23116,5.50145,5.56378,0.615098,0.604428
198,5.02567,4.88296,4.997,5.04411,0.568889,0.56599
199,6.16158,6.02333,6.14473,6.23135,0.608667,0.580918
200,5.87132,5.74649,5.81245,5.78959,0.602787,0.591308
201,5.50544,5.29058,5.52334,5.47691,0.61384,0.581493
202,5.78741,5.68453,5.62847,5.70054,0.584513,0.581962
203,5.61936,5.48699,5.67357,5.59948,0.587245,0.581093
204,5.32478,5.25235,5.37569,5.46662,0.605522,0.58212
205,5.65767,5.49822,5.59188,5.68177,0.603357,0.58566
206,6.00707,5.89843,6.05928,6.10946,0.594679,0.602522
207,6.93838,6.93373,7.08944,7.09928,0.615654,0.615507
208,5.80862,5.58911,5.68234,5.68314,0.619913,0.62443
209,6.12815,6.12162,6.02005,6.03409,0.637963,0.629039
210,5.88654,5.81273,5.89601,5.91808,0.622682,0.629352
211,5.91982,5.84741,5.86414,5.91444,0.630366,0.60911
212,5.95275,5.74122,6.00858,5.90679,0.628591,0.604935
213,5.70422,5.45647,5.64036,5.79372,0.634511,0.61465
214,5.4336,5.24775,5.44259,5.3925,0.62434,0.632617
215,5.853,5.8624,5.87691,5.92544,0.630246,0.642306
216,5.70833,5.51184,5.64952,5.75986,0.637433,0.641986
217,5.99627,5.66821,5.94861,5.93295,0.620452,0.631594
218,4.84466,4.86484,4.87285,4.94054,0.635139,0.612188
219,5.91604,5.65822,5.76717,5.98921,0.599387,0.601452
220,6.39532,6.21509,6.40322,6.47797,0.596392,0.599823
221,5.42209,5.19169,5.25942,5.34901,0.599041,0.617251
222,6.35888,6.1906,6.17665,6.42839,0.608953,0.629916
223,6.45639,6.35763,6.36729,6.54935,0.608244,0.63951
224,5.9608,5.46241,5.71669,5.76527,0.614529,0.648738
225,5.44253,5.27064,5.39768,5.42245,0.612158,0.637851
226,5.77081,5.53079,5.67787,5.80919,0.605483,0.625639
227,5.82121,5.55879,5.66034,5.7923,0.606951,0.602586
228,5.67217,5.54638,5.62046,5.77456,0.584643,0.609789
229,5.73792,5.59367,5.59467,5.66744,0.596303,0.605372
230,6.33342,6.31976,6.48604,6.41953,0.603744,0.601158
231,5.52324,5.34289,5.43931,5.62948,0.598465,0.626538
232,5.20789,5.26001,5.29956,5.17923,0.544665,0.60869
233,5.26429,5.03977,5.14746,5.17738,0.605736,0.628173
234,6.07939,5.79198,6.02278,5.96873,0.616222,0.619372
235,5.91605,5.54797,5.72811,5.78672,0.610287,0.610244
236,5.60895,5.46005,5.50728,5.54826,0.603567,0.59904
237,4.48686,4.37912,4.47303,4.32462,0.546748,0.560426
238,5.54289,5.3913,5.48652,5.56444,0.606284,0.599999
239,5.54611,5.43403,5.62153,5.51506,0.607648,0.591422
240,5.97436,5.90925,6.02604,6.00276,0.592852,0.604772
241,5.54968,5.31016,5.45321,5.63332,0.605933,0.602051
242,5.63185,5.57998,5.5723,5.66208,0.60373,0.597817
243,5.39919,5.31897,5.39696,5.40711,0.563676,0.581625
244,5.01174,4.91301,5.01119,5.05127,0.594725,0.59739
245,5.93058,5.61409,5.88557,5.91866,0.599536,0.618209
246,5.48589,5.19001,5.38213,5.46858,0.597557,0.611119
247,5.53344,5.45412,5.53943,5.52927,0.596206,0.611977
248,5.82469,5.65826,5.81347,5.84173,0.590871,0.618823
249,5.8344,5.5246,5.62271,5.83305,0.602339,0.60978
250,4.08578,4.27624,4.44846,4.13014,0.532653,0.577196
251,5.55314,5.35624,5.52906,5.50467,0.606379,0.610423
252,5.86731,5.61538,5.88665,5.9128,0.611256,0.601659
253,5.49888,5.27378,5.49838,5.48861,0.609694,0.609986
254,5.33632,5.09331,5.23077,5.37034,0.62019,0.615932
255,6.05644,5.78094,5.9595,5.97041,0.624037,0.627655
256,4.95355,4.51737,4.816,4.88042,0.614197,0.630419
257,5.79938,5.40211,5.53201,5.73523,0.613529,0.628112
258,5.15143,4.85885,4.9914,5.05635,0.605469,0.628318
259,6.08425,5.80904,5.90776,6.11318,0.605924,0.611279
260,5.50305,5.29363,5.38007,5.51075,0.603608,0.606534
261,5.37634,5.21744,5.29503,5.28628,0.58273,0.604708
262,6.56383,6.24443,6.33456,6.46096,0.592884,0.611023
263,5.15487,4.92313,5.03696,5.1927,0.589983,0.612482
264,5.27239,5.16104,5.25813,5.31062,0.574239,0.590956
265,5.86817,5.66844,5.67063,5.85251,0.588503,0.613626
266,5.4816,5.44235,5.46727,5.63333,0.600054,0.601105
267,6.08126,6.00824,6.04928,6.04163,0.575278,0.603936
268,5.12277,4.75144,4.95136,5.01668,0.604353,0.603454
269,5.68544,5.2822,5.62336,5.5543,0.599639,0.612495
270,4.83352,4.36509,4.63924,4.75285,0.601672,0.598088
271,5.52819,5.46392,5.49563,5.58936,0.564137,0.575689
272,5.64555,5.38343,5.55162,5.65298,0.592947,0.588943
273,6.33915,5.96371,6.17006,6.36061,0.594978,0.594671
274,5.17626,4.78842,4.95831,5.05671,0.591412,0.592922
275,5.31251,5.17349,5.19,5.32738,0.602639,0.595698
276,5.14384,5.05523,5.1561,5.15341,0.591929,0.580854
277,5.55427,5.39388,5.48614,5.6478,0.618833,0.602303
278,5.11808,4.90988,5.00071,5.22425,0.616743,0.577415
279,5.73301,5.55419,5.58879,5.77591,0.606083,0.595018
280,5.77689,5.4098,5.54307,5.75308,0.605907,0.584698
281,6.06033,5.89214,5.85217,6.0099,0.598556,0.582322
282,6.26866,5.97067,6.02394,6.15545,0.606498,0.576029
283,5.28492,4.79275,4.97314,5.13659,0.597618,0.570754
284,3.31573,3.6467,3.59188,3.21885,0.521053,0.521368
285,5.1121,5.05559,5.08689,5.24099,0.61089,0.583369
286,5.39941,5.21475,5.30347,5.62469,0.621161,0.58105
287,5.75026,5.63316,5.74557,5.71559,0.613539,0.578178
288,5.17231,4.89163,5.09042,5.21225,0.592536,0.583353
289,4.97588,4.66194,4.84704,4.88852,0.581261,0.572453
290,4.74657,4.4791,4.77175,4.84683,0.585011,0.5787
291,6.15615,6.14594,6.04778,6.16548,0.587769,0.584364
292,4.9949,4.96622,5.05463,5.11194,0.586018,0.585695
293,5.71649,5.48202,5.57858,5.70142,0.588135,0.586183
294,5.55788,5.40447,5.40915,5.54145,0.574971,0.574069
295,5.45379,5.25582,5.37449,5.46064,0.582858,0.585955
296,4.65959,4.35464,4.5686,4.63229,0.531208,0.546642
297,6.03983,5.92705,5.97206,5.96607,0.572862,0.593192
298,5.55967,5.27293,5.29623,5.46112,0.559483,0.58457
299,5.63076,5.60388,5.68587,5.6716,0.582161,0.59098
300,5.34416,4.85803,5.19298,5.47603,0.580418,0.611516
